URL,TF,IDF,IDFLogBase2,TFIDF,TFIDFLogBase2
505_www.azcentral.com.txt,0.01863000325414904,0.2875882946518668,-1.7979231381343843,0.005357770865219452,-0.03349531391415344
435_www.northjersey.com.txt,0.00048426150121065375,0.2875882946518668,-1.7979231381343843,0.00013926793929872484,-0.0008706649579343265
1006_www.gosanangelo.com.txt,0.0004005126561999359,0.2875882946518668,-1.7979231381343843,0.000115182751783029,-0.0007200909716975265
558_www.denverpost.com.txt,0.0003775579551461149,0.2875882946518668,-1.7979231381343843,0.0001085812484527172,-0.000678820183543904
256_www.indystar.com.txt,0.0002833463200396685,0.2875882946518668,-1.7979231381343843,8.148708497609033e-05,-0.0005094349049045504
509_www.lansingstatejournal.com.txt,0.00028143249138112993,0.2875882946518668,-1.7979231381343843,8.093669025592536e-05,-0.0005059939880769392
249_thetartan.org.txt,0.0002027027027027027,0.2875882946518668,-1.7979231381343843,5.829492459159462e-05,-0.0003644438793515644
895_leaderpost.com.txt,0.00019857029388403494,0.2875882946518668,-1.7979231381343843,5.7106492186629626e-05,-0.000357014125920251
186_www.thevwindependent.com.txt,0.00012893243940175349,0.2875882946518668,-1.7979231381343843,3.707946037285544e-05,-0.00023181061605652198
371_carver.wickedlocal.com.txt,0.00012548625925461163,0.2875882946518668,-1.7979231381343843,3.6088379301275797e-05,-0.00022561464903179628
